instance_id,baseline_completed_at,baseline_model_calls,baseline_total_tokens,baseline_budget_sha256,baseline_p0_patch_sha256,baseline_final_patch_sha256,baseline_terminal_status,method_model_calls,method_total_tokens,method_budget_sha256,method_p0_patch_sha256,method_final_patch_sha256,method_terminal_status
django__django-13321,2026-09-20T08:38:19.734012+00:00,11,147575,e5ed3d1745c6e36814fb2659d5ecb7cfd7ada7bb51c844cc17b4d02e3536afcb,acb905a72ae354581478d9ef0c3790ac148fb07895b776854a9d956a1df63a4d,acb905a72ae354581478d9ef0c3790ac148fb07895b776854a9d956a1df63a4d,EVIDENCE_LIMITED,9,115068,6d9d7a4f3bd96780c7afbb38155dfe9c4e41a514265bb693e3fa7febfbd0f544,360f3613d8a56a0c5040b2bf433a5440f2b0d42dfd706c590ce75f58bc211123,360f3613d8a56a0c5040b2bf433a5440f2b0d42dfd706c590ce75f58bc211123,EVIDENCE_LIMITED
django__django-13265,2026-09-20T08:42:02.560626+00:00,24,270131,dd74ed8eea7c2a155884d24346e470efcd82cf9e737ff512aed9bb0aa90fcebd,ee4cc80afc883ff02d6054a31ebbc173781b7185db0d9fb23b2b463aca3137ba,ee4cc80afc883ff02d6054a31ebbc173781b7185db0d9fb23b2b463aca3137ba,BEST_EFFORT_BUDGET_EXHAUSTED,18,207848,966d34b3bc091e6f3064306ad83031b6072c8c0290f771bde0679f57ea31b32f,634c0fe30d08f7cb33de67a8519e266ddc4875d382da514d72275ebf34d3b4a4,634c0fe30d08f7cb33de67a8519e266ddc4875d382da514d72275ebf34d3b4a4,BEST_EFFORT_BUDGET_EXHAUSTED
django__django-13448,2026-09-20T08:43:58.177002+00:00,14,148206,ce7711f8e8104eb9ff1296524c1f4dd05572cc7aee12893ca34555c897a619f4,b79660bd8c9d467330a4a7a80f6dd909142ec8a444ba4400892cf4b6ee668629,b79660bd8c9d467330a4a7a80f6dd909142ec8a444ba4400892cf4b6ee668629,GLOBAL_FRONTIER_EXHAUSTED,8,48622,a4207553d0e4a7ee58baf29e2de225a82726acc30493fa125c761c0e37159e42,61903e8854252c2b12da4963e7ae4ada32a6fdc0bc3b136673f6e25b6f6fc7d3,61903e8854252c2b12da4963e7ae4ada32a6fdc0bc3b136673f6e25b6f6fc7d3,GLOBAL_FRONTIER_EXHAUSTED
django__django-13768,2026-09-20T09:06:12.621366+00:00,12,95878,5dd24a8cad6e705bceca60b0cf0d7d98e2eced290673458590cb82ab21a81ddd,f9e9fb7de226b20f7a847fe9debde908c360ffaa670bd22c3868fb24d8807935,f9e9fb7de226b20f7a847fe9debde908c360ffaa670bd22c3868fb24d8807935,EVIDENCE_LIMITED,9,72462,5b7cd66f3c2bc03d9e82cd4ecb81c85c5c61fe88260a0e7832bce3874a87a440,f9e9fb7de226b20f7a847fe9debde908c360ffaa670bd22c3868fb24d8807935,f9e9fb7de226b20f7a847fe9debde908c360ffaa670bd22c3868fb24d8807935,EVIDENCE_LIMITED
django__django-13660,2026-09-20T09:06:17.941111+00:00,10,93493,e31ef96664f59412297ec81521274e45b66a0845efe17dc0f5bfbdd7597d343b,a37ce22ef9f124434d3fda6452920781c927a7d6fa89de5202045155b8f76cc1,a37ce22ef9f124434d3fda6452920781c927a7d6fa89de5202045155b8f76cc1,EVIDENCE_LIMITED,26,440649,f2bcdd6df0d5ddd3a48a4ca897e6b79285a6246cdd4e5a9cfb4de78850be089f,a37ce22ef9f124434d3fda6452920781c927a7d6fa89de5202045155b8f76cc1,a37ce22ef9f124434d3fda6452920781c927a7d6fa89de5202045155b8f76cc1,EVIDENCE_LIMITED
django__django-13964,2026-09-20T09:11:57.671349+00:00,16,184879,7223c53c3bb4a867c9f1fb0ea296b278a988269fff294cbc5aca77b8bed221ec,aa86f42c7c128b690b8bb893b73c2d33374d8cdb367efac81c6f5e0ac971b915,aa86f42c7c128b690b8bb893b73c2d33374d8cdb367efac81c6f5e0ac971b915,REACHED,19,204599,daeade9ae3d76963d90c9febf4da7822a7d2a04275981ca15d27e74b7e9a7c04,aa86f42c7c128b690b8bb893b73c2d33374d8cdb367efac81c6f5e0ac971b915,aa86f42c7c128b690b8bb893b73c2d33374d8cdb367efac81c6f5e0ac971b915,BEST_EFFORT_BUDGET_EXHAUSTED
django__django-14155,2026-09-20T09:13:57.222759+00:00,32,554338,0000dbfd48fba21cf77050bfb80e810174fb6b53e52d8c127d1a3327585cdee0,e2648df709444f163f9bb4bc487f828c63fc74fbcef071c33ecbb347744bb202,e2648df709444f163f9bb4bc487f828c63fc74fbcef071c33ecbb347744bb202,EVIDENCE_LIMITED,10,114855,6bd8b1f2dfac612cf0af4c2a31574d666cb0d39f6a708f1ddac3b29df0404848,e2648df709444f163f9bb4bc487f828c63fc74fbcef071c33ecbb347744bb202,e2648df709444f163f9bb4bc487f828c63fc74fbcef071c33ecbb347744bb202,EVIDENCE_LIMITED
django__django-14534,2026-09-20T09:32:18.927111+00:00,33,541555,8e6c9e3b20d08c4089f524ee75ac10c5eba33f85969c8f61b0814b7ba9fb0187,da989c9bf2abbd8cf32554de8a2424f16c13a18b7c292d7190a028ecdef0b2b7,da989c9bf2abbd8cf32554de8a2424f16c13a18b7c292d7190a028ecdef0b2b7,EVIDENCE_LIMITED,12,112656,e7ae40811c11794448c555d615e796af791c9bb7ef25584bdfd30bff03354cd3,da989c9bf2abbd8cf32554de8a2424f16c13a18b7c292d7190a028ecdef0b2b7,da989c9bf2abbd8cf32554de8a2424f16c13a18b7c292d7190a028ecdef0b2b7,EVIDENCE_LIMITED
django__django-14997,2026-09-20T09:40:49.374388+00:00,17,231426,a9405c7671919d575973d0546afc4d76f92af4e21156e1aa27cd3d45187f1f86,0156afc9603fb966bc32ef159362416730fc5c0777c7f613b98ad38ff954f5be,0156afc9603fb966bc32ef159362416730fc5c0777c7f613b98ad38ff954f5be,EVIDENCE_LIMITED,11,129432,94a62931eba451dd7db21426d59d7c55a80122ecf5efa31e84ad7cb9abbe7884,0156afc9603fb966bc32ef159362416730fc5c0777c7f613b98ad38ff954f5be,0156afc9603fb966bc32ef159362416730fc5c0777c7f613b98ad38ff954f5be,EVIDENCE_LIMITED
django__django-14667,2026-09-20T09:41:30.544114+00:00,20,259365,87ae876341eb0c237b4c5d5dacdb5d79925f89570384d38a855e857066a7cc9f,f7fa7deaf17648c2a2a57e5617ee8bc45b16d38aba85b892a01eae80dbe50ab1,f7fa7deaf17648c2a2a57e5617ee8bc45b16d38aba85b892a01eae80dbe50ab1,BEST_EFFORT_BUDGET_EXHAUSTED,14,173014,49ba1de6046e70c46356a65ea8bd57277b61b9e03cfbf22576ad4cce7dc30f27,9e3dbb493304aebd16902c9b7d1901ab7ec635f3a04098fa9f0fcfc042673839,9e3dbb493304aebd16902c9b7d1901ab7ec635f3a04098fa9f0fcfc042673839,BEST_EFFORT_BUDGET_EXHAUSTED
